Time &Domain0 &Domain1 &Domain2 &Domain3
370.0579992635 0.277194468 0.2475606709 0.2358422998 0.2394025613
371.3401394295 0.2785301378 0.2471032043 0.2354064876 0.2389601702
372.0168908963 0.2785301378 0.2471032043 0.2354064876 0.2389601702
373.1702576489 0.2785301378 0.2471032043 0.2354064876 0.2389601702
374.0234953638 0.2785301378 0.2471032043 0.2354064876 0.2389601702
375.0076225919 0.2785301378 0.2471032043 0.2354064876 0.2389601702
376.08450271 0.2785301378 0.2471032043 0.2354064876 0.2389601702
377.1144092945 0.2785301378 0.2471032043 0.2354064876 0.2389601702
378.0422232568 0.2785301378 0.2471032043 0.2354064876 0.2389601702
379.0009854221 0.2785301378 0.2471032043 0.2354064876 0.2389601702
380.1451306997 0.2785301378 0.2471032043 0.2354064876 0.2389601702
381.0305098976 0.271068295 0.2672733648 0.2290999306 0.2325584097
382.0058924376 0.271068295 0.2672733648 0.2290999306 0.2325584097
383.2379745269 0.271068295 0.2672733648 0.2290999306 0.2325584097
384.2701162214 0.271068295 0.2672733648 0.2290999306 0.2325584097
385.2486173942 0.271068295 0.2672733648 0.2290999306 0.2325584097
386.1716641093 0.271068295 0.2672733648 0.2290999306 0.2325584097
387.5454542125 0.271068295 0.2672733648 0.2290999306 0.2325584097
388.0215433005 0.271068295 0.2672733648 0.2290999306 0.2325584097
389.190169827 0.271068295 0.2672733648 0.2290999306 0.2325584097
390.1764055166 0.2649647116 0.2612552309 0.2464581129 0.2273219446
391.1016030081 0.2639523114 0.2602570043 0.249337311 0.2264533732
392.2002113023 0.2639523114 0.2602570043 0.249337311 0.2264533732
393.3213817787 0.2639523114 0.2602570043 0.249337311 0.2264533732
394.0804420145 0.2639523114 0.2602570043 0.249337311 0.2264533732
395.4072412644 0.2616484372 0.257985384 0.2471610019 0.2332051769
396.2389865405 0.2616484372 0.257985384 0.2471610019 0.2332051769
397.0877078272 0.2616484372 0.257985384 0.2471610019 0.2332051769
398.1616281953 0.2616484372 0.257985384 0.2471610019 0.2332051769
399.0306609854 0.2616484372 0.257985384 0.2471610019 0.2332051769
400.6199756687 0.2616484372 0.257985384 0.2471610019 0.2332051769
401.0560770223 0.2616484372 0.257985384 0.2471610019 0.2332051769
402.2040947723 0.2616484372 0.257985384 0.2471610019 0.2332051769
403.0723071679 0.2616484372 0.257985384 0.2471610019 0.2332051769
404.0279399446 0.2616484372 0.257985384 0.2471610019 0.2332051769
405.0641808213 0.2547910828 0.251224032 0.2668916139 0.2270932713
406.0814269291 0.2547910828 0.251224032 0.2668916139 0.2270932713
407.1142328175 0.2547910828 0.251224032 0.2668916139 0.2270932713
408.029813624 0.2547910828 0.251224032 0.2668916139 0.2270932713
409.0592289096 0.2547910828 0.251224032 0.2668916139 0.2270932713
410.045577937 0.2547910828 0.251224032 0.2668916139 0.2270932713
411.4932397003 0.2510081735 0.247494083 0.2777761492 0.2237215943
412.2464803188 0.2510081735 0.247494083 0.2777761492 0.2237215943
413.0077105299 0.2510081735 0.247494083 0.2777761492 0.2237215943
414.3372556582 0.2492262681 0.2457371242 0.2829032116 0.2221333962
415.0790557751 0.2492262681 0.2457371242 0.2829032116 0.2221333962
416.0190732312 0.2492262681 0.2457371242 0.2829032116 0.2221333962
417.042307064 0.2475416405 0.2440760812 0.280990947 0.2273913313
418.069874086 0.2475416405 0.2440760812 0.280990947 0.2273913313
419.2601835103 0.2475416405 0.2440760812 0.280990947 0.2273913313
420.004517437 0.2475416405 0.2440760812 0.280990947 0.2273913313
421.0665393247 0.2475416405 0.2440760812 0.280990947 0.2273913313
422.112303914 0.2475416405 0.2440760812 0.280990947 0.2273913313
423.1405618113 0.2573520276 0.2408938708 0.2773274487 0.224426653
424.0871278269 0.2564615381 0.2400603298 0.2798280401 0.2236500919
425.0183249228 0.2564615381 0.2400603298 0.2798280401 0.2236500919
426.0273855909 0.2564615381 0.2400603298 0.2798280401 0.2236500919
427.1386779204 0.2564615381 0.2400603298 0.2798280401 0.2236500919
428.2462754973 0.2564615381 0.2400603298 0.2798280401 0.2236500919
429.0567332211 0.2564615381 0.2400603298 0.2798280401 0.2236500919
430.0574842818 0.2531097438 0.2369228892 0.2892402441 0.220727123
431.5039616498 0.2531097438 0.2369228892 0.2892402441 0.220727123
432.0945007529 0.2531097438 0.2369228892 0.2892402441 0.220727123
433.1150340533 0.2531097438 0.2369228892 0.2892402441 0.220727123
434.0134889361 0.2504369012 0.23442098 0.2967458774 0.2183962413
435.0072507506 0.2504369012 0.23442098 0.2967458774 0.2183962413
436.0185348855 0.2504369012 0.23442098 0.2967458774 0.2183962413
437.1447706531 0.2504369012 0.23442098 0.2967458774 0.2183962413
438.1286756147 0.2504369012 0.23442098 0.2967458774 0.2183962413
439.2933624172 0.2504369012 0.23442098 0.2967458774 0.2183962413
